Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Ferenc;Tinka;ind.;C;;;;;;;89;;;;;89;89
Podobnik;Leja;OK Azimut;C;;;;;;;;;89;;;89;89
Ferenc;Zala;OK Tivoli;C;;;;;;;84;;;;;84;84
Špenko;Jure;ind.;C;;;;;;;;84;;;;84;84
Bohinc;Vesna;OK Komenda;C;;;;;;;;83;;;;83;83
Šumečki;Janez;RJZ Velenje;C;;;;;;;;80;;;;80;80
Svit;Pestotnik Stres;ind.;C;;;;79;;;;;;;;79;79
Fučka;Sara;PD Ajdovščina;C;;;;36;42;;;;;;;78;39
Kavčič;Sara;Planinsko Društvo Ajdovščina;C;;;;;77;;;;;;;77;77
Petrovič;Filip;OK Polaris;C;;;;77;;;;;;;;77;77
Keresteš;Vid;OK Trzin;C;;;;;;;;74;;;;74;74
Primožič;Družina;OK Azimut;C;;;;;;;;;74;;;74;74
Škrjanc;Petra;ind.;C;;;;;68;;;;;;;68;68
Štremfelj;Anže;OK Azimut;C;;;;66;;;;;;;;66;66
Škarabot;Anja;OK Polaris;C;;;;;65;;;;;;;65;65
Bone;Matevž;PD Ajdovščina;C;;;;;;62;;;;;;62;62
Pestotnik Stres;Luna;Carpe Diem;C;;;;;62;;;;;;;62;62
Sedej;David;ind.;C;;;;;60;;;;;;;60;60
Kavčič;Domen;OK Azimut;C;;;;58;;;;;;;;58;58
Anderluh;Katarina Eva;OK Polaris;C;;;;;57;;;;;;;57;57
Špenko;Zala;ind.;C;;;;;;;;55;;;;55;55
Čerin;Marinka;OK Tivoli;C;;;;;;;;;;53;;53;53
Premrl;Nika;PD Ajdovščina;C;;;;50;;;;;;;;50;50
Petrovič;Domen;OK Polaris;C;;;;49;;;;;;;;49;49
Bratina;Kaja;PD Ajdovščina;C;;;;;39;;;;;;;39;39
Dora;Pestotnik Stres;ind.;C;;;;33;;;;;;;;33;33
Miheljak;Tevž;OK Slovenj Gradec;C;;;;;28;;;;;;;28;28
Medvešček;Ana;PD Ajdovščina;C;;;;27;;;;;;;;27;27
